0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:33 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10098
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:33 +0530] "GET /ORS_Project4/ctl/TimeTableListCtl HTTP/1.1" 200 10098
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:33 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:33 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:16:52:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:30:55 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 500 1153
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:31:12 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:31:13 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:31:19 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:31:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1266
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:31:24 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:31:44 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:38:55 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3094
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:38:56 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:38:56 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3314
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:38:58 +0530] "GET /ORS_Project4/LoginCtl?operation=logout HTTP/1.1" 200 3070
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:39:03 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:51:13 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:51:13 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:51:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:51:58 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5881
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:51:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:52:09 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:52:09 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [22/Sep/2022:17:52:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
